,date,text,sentiment
University of British Columbia crowned National Champion of The Governor’s Challenge,2020-02-10,university british columbia bank canada fifth annual governor challenge national student competition teams simulate role advisor bank governing council winners announced following final round ottawa saturday february governor stephen s. poloz awarded championship trophy congratulated university british columbia encouraged participants continue studies economics see make contribution told finalists whether career takes private industry public service remember economics people working profession g,0.07181096
Bank of Canada launches public consultation for new $5 bank note,2020-01-29,minister finance bill morneau governor stephen s. poloz today announced bank canada launching public consultations select iconic canadian appear next bank note canadians submit nominations using bank canada submission form march call nominations similar bank campaign resulted selection viola desmond defender human rights social justice portrait subject vertical bank note redesigned bill bank note year award international bank note society `` launched last round consultations never could anticipa,0.06571111
Bank of Canada maintains overnight rate target at 1 ¾ percent,2019-07-10,bank canada today maintained target overnight rate percent bank rate correspondingly percent deposit rate percent evidence accumulating ongoing trade tensions material effect global economic outlook bank already incorporated negative effects previous monetary policy reports mpr forecast made adjustments light weaker sentiment activity major economies trade conflicts united states china particular curbing manufacturing activity business investment pushing commodity prices policy responding slowdo,-0.9078857
Bank of Canada Governor Stephen S. Poloz to step down in June 2020,2019-12-06,board directors bank canada announced today governor stephen s. poloz informed seek second term governor seven-year term expires june board begun search process select next governor bank privilege serve ninth governor bank canada governor poloz said time governor fulfilling long career term bank created conditions steady economic growth low unemployment inflation close target challenging times governor thanked board directors bank canada minister finance prime minister continued faith important ,0.12430997
Bank of Canada announces finalists for the fifth annual Governor’s Challenge,2019-11-28,bank canada announced five finalist teams 2019-20 edition governor challenge competition university students simulate role advisor bank governing council congratulations special mention runner-up teams governor thanked students professors participated governor challenge competition excellent opportunity next generation economists finance professionals develop new skills learn important role bank canada said passion ingenuity bring table fills confidence future economy good hands correction relea,0.21236655
"New exhibition, Luck and Lore, opens at the Bank of Canada Museum",2019-10-24,"bank canada museum inviting ottawa residents visitors come see new exhibition luck lore explores spiritual ceremonial superstitious uses money—and surprising roots familiar traditions exhibition opens public october feature rare never-before-displayed artifacts national currency collection interactive activities visitors ages 2,500 years using money means exchange transforming skills effort things need said larry schembri deputy governor bank canada money important comfort security much part dai",0.050988182
Bank of Canada announces Deputy Governor  and Special Advisor appointments,2019-09-19,board directors bank canada today announced appointment toni gravelle deputy governor effective october mr. gravelle appointment fills vacancy created retirement lynn patterson july deputy governor mr. gravelle join bank governing council sets strategic direction bank policy-making body mr. gravelle share responsibility overseeing bank financial system activities deputy governor paul beaudry delighted welcome toni gravelle governing council versatile thoughtful experienced leader already well-kn,0.10727137
"Bank of Canada publishes its 2020 schedule for policy interest rate announcements, the release of the Monetary Policy Report and other major publications",2019-07-23,bank canada today published schedule policy interest rate announcements release quarterly monetary policy report reconfirmed scheduled interest rate announcement dates remainder year bank also published schedule release financial system review winter autumn issues business outlook survey scheduled dates interest rate announcements september december reconfirmed follows scheduled dates interest rate announcements follows monetary policy report published interest rate announcements made 10:00 et m,-0.06518229
Bank of Canada to become the administrator of key interest rate benchmark,2019-07-16,bank canada today announced intention become administrator canadian overnight repo rate average corra key interest rate benchmark financial markets bank take role current administrator refinitiv enhancements corra take effect next year bank provide rate public good cost line developments major economies canada close trillion dollars financial instruments linked benchmark interest rates including corra today announcement part canada contribution global reform effort promote use risk-free rate ben,0.10239499
Bank of Canada announces partnership to improve resilience in financial sector,2019-06-27,bank canada today announced launch public-private partnership strengthen resilience canada financial sector face risks business operations including cyber incidents canadian financial sector resiliency group cfrg responsible coordinating sector-wide response systemic-level operational incidents cfrg also support ongoing resiliency initiatives regular crisis simulation benchmarking exercises efforts reduce risk help ensure robust recovery event incident cfrg start work august led bank canada init,0.4348419
Bank of Canada maintains overnight rate target at 1 ¾ per cent,2018-12-05,bank canada today maintained target overnight rate per cent bank rate correspondingly per cent deposit rate per cent global economic expansion moderating largely expected signs emerging trade conflicts weighing heavily global demand recent encouraging developments g20 meetings reminder upside well downside risks around trade policy growth major advanced economies slowed although activity united states remains potential oil prices fallen sharply since october monetary policy report mpr reflecting,-0.9002323
Deputy Governor Lynn Patterson to retire from the Bank of Canada,2019-05-08,bank canada announced today deputy governor lynn patterson retire july lynn patterson appointed deputy governor bank canada may responsibility overseeing bank analysis activities promoting stable efficient financial system member bank governing council shared responsibility decisions respect monetary policy financial system stability setting strategic direction bank ms. patterson joined bank special advisor governor senior representative financial markets bank toronto regional office brought ban,0.030231813
The Bank of Canada releases its Annual Report for 2018,2019-04-04,bank canada annual report tabled house commons today report available 15:00 et bank website information please contact 613-782-8782 ,-0.016687829
Bank of Canada joins Central Banks’ and Supervisors’ Network for Greening the Financial System,2019-03-27,bank canada today announced joined central banks supervisors network greening financial system ngfs ngfs established december paris one planet summit strengthen global response paris agreement climate change made members ngfs defines promotes best practices climate risk management financial sector conducts analytical work green finance governor stephen s. poloz said bank committed part better understand implications climate change economy financial system proud accepted member ngfs importance cl,0.16662306
Bank of Canada names winners of women’s scholarship award,2019-03-08,"bank canada marked international women day announcing 2018-2019 recipients master scholarship award women economics finance award first announced september designed attract advance women core areas bank work under-represented 10,000 scholarship combined opportunity permanent employment bank upon successful completion master degree recipient successful applicants 2018–19 follows ",-0.018813439
Wilfrid Laurier University crowned National Champion of  The Governor’s Challenge,2019-02-19,wilfrid laurier university bank canada fourth annual governor challenge national student competition teams simulate role advisor bank governing council winners announced following final round ottawa saturday february governor stephen s. poloz awarded championship trophy congratulated wilfrid laurier university encouraged participants apply skills knowledge betterment canada told finalists is—and always be—a place public service bank canada smart hard-working economists afraid take risks go beate,0.11996046
Bank of Canada Announces Deputy Governor Appointment,2016-02-23,board directors bank canada today announced appointment sylvain leduc deputy governor effective may mr. leduc appointment result open search process fills vacancy created retirement agathe côté january deputy governor mr. leduc join bank governing council policy-making body bank governing council responsible decisions respect monetary policy financial system stability setting strategic direction bank sylvain leduc central banking experience deep understanding international monetary system make e,-0.0044297315
New exhibition on Viola Desmond opens at Bank of Canada Museum,2018-11-29,bank canada museum inviting canadians ages visit new exhibition noteworthy woman depicts life viola desmond icon human rights social justice movement canada first canadian woman appear regular bank note exhibition opens public november feature rare never-before-displayed artifacts viola desmond life exhibition also explores imagery newly circulating bank note soon many canadians carry viola desmond note wallets lessons life must continue told said senior deputy governor carolyn a. wilkins event ,0.084524445
Bank of Canada announces finalists for the fourth annual Governor’s Challenge,2018-11-26,bank canada today announced five finalist teams 2018–19 edition governor challenge competition university students simulate role advisor bank governing council congratulations special mention runner-up teams governor stephen s. poloz thanked students participating professors coaching teams stage see students competing governor challenge among could shape future economics finance said skills develop—analysis ingenuity imagination—and inspiration teachers look forward seeing next ,0.11541452
Bank of Canada launches digital hub for promoting a stable and efficient financial system,2018-11-14,today bank canada launched financial system hub dedicated space bank website timely analysis research financial stability issues digital format gives bank flexibility discuss new financial system developments arise present work accessible engaging ways addition regular publication analysis research hub include shorter posts visuals multimedia content digital edition june financial system review posts explain key financial system concepts simple terms accompany three new items published first tim,0.029390287
Bank of Canada publishes staff economic projections for the first time,2018-11-01,today bank canada launched digital database years past staff economic projections canadian economy projections serve key starting point governing council quarterly monetary policy report mpr forecasts policy interest rate decisions making data available bank taking another step open data transparency efforts providing important source information researchers said senior deputy governor carolyn a. wilkins quarter staff conduct in-depth analysis canadian international economies present governing c,0.04675101
Bank of Canada increases overnight rate target to 1 ¾ per cent,2018-10-24,bank canada today increased target overnight rate per cent bank rate correspondingly per cent deposit rate per cent global economic outlook remains solid us economy especially robust expected moderate projection horizon forecast bank july monetary policy report mpr new us-mexico-canada agreement usmca reduce trade policy uncertainty north america important curb business confidence investment however trade conflict particularly united states china weighing global growth commodity prices financial,0.53622496
Bank of Canada launches new program to foster collaboration with innovators,2018-10-10,bank canada looking partners private sector academia experiment digital tools technology artificial intelligence machine learning partnerships innovation technology pivot program part bank efforts fast-track innovation economic analysis research well day-to-day operations new program builds commitment bank medium-term plan deepen knowledge leading-edge technologies engagement innovators canada globally complements bank innovation initiatives including partnership creative destruction lab always ,0.3802776
Bank of Canada partners with Canadian Foundation for Economic Education to launch new website,2018-10-04,today bank canada governor stephen s. poloz welcomed students teachers bank canada museum launch money monetary policy canada online resource educators authored canadian foundation economic education cfee close collaboration bank staff using simple language relatable examples explains topics use history money financial system works role central bank interest rates set another important investment bank made encourage economic education canada governor poloz said last week launch economy plain sim,0.05344116
"Bank of Canada launches The Economy, Plain and Simple",2018-09-28,today bank canada launched new digital publication help canadians better understand economy economy plain simple feature regular blog-like educational articles current economic issues using plain language engaging visuals explain concepts simple terms also cover topics related bank canada main functions initiative latest many important steps bank taken communicate clearly canadians said governor stephen s. poloz along outstanding museum website new publication helps canadians better understand e,0.069195256
Bank of Canada calls for nominations for the 2019 Fellowship Program awards,2018-09-10,bank canada inviting canadian universities nominate exceptional academics fellowship governor awards presented annually awards distinguish support work academics making exemplary contributions economic financial research canada issues related central banking extend beyond traditional monetary policy theory fellowship program designed foster research excellence broad range fields related bank core functions monetary policy financial system currency funds management program also supports collabora,0.1655266
Bank of Canada maintains overnight rate target at 1 ½ per cent,2018-09-05,bank canada today maintained target overnight rate per cent bank rate correspondingly per cent deposit rate per cent cpi inflation moved per cent july higher expected large part jump airfare component consumer price index bank expects cpi inflation move back towards per cent early effects past increases gasoline prices dissipate bank core measures inflation remain firmly around per cent consistent economy operating near capacity time wage growth remains moderate recent data global economy consis,-0.21418507
"Bank of Canada publishes its 2019 schedule for policy interest rate announcements, the release of the Monetary Policy Report, the Business Outlook Survey and the Senior Loan Officer Survey",2018-07-31,bank canada today published schedule policy interest rate announcements release quarterly monetary policy report reconfirmed scheduled interest rate announcement dates remainder year also published schedule release winter fall issues business outlook survey senior loan officer survey scheduled dates interest rate announcements september december reconfirmed follows scheduled dates interest rate announcements follows monetary policy report published interest rate announcements made 10:00 et monet,-0.05243723
Bank of Canada raises overnight rate target to 1 ½ per cent,2018-07-11,bank canada today increased target overnight rate per cent bank rate correspondingly per cent deposit rate per cent bank expects global economy grow per cent per cent line april monetary policy report mpr us economy proving stronger expected reinforcing market expectations higher policy rates pushing us dollar contributing financial stresses emerging market economies meanwhile oil prices risen yet canadian dollar lower reflecting broad-based us dollar strength concerns trade actions possibility ,-0.77055943
Bank of Canada partners with Creative Destruction Lab to deepen knowledge of new technologies,2018-06-13,bank canada announced today partner creative destruction lab cdl deepen knowledge leading technologies partnership motivated bank 2019–21 medium-term plan focuses better understanding digital economy technological transformation financial services strengthening innovation operations central bank particular bank partnership agreement cdl enable stay abreast developments fields artificial intelligence ai machine learning crypto-asset technologies quantum computing bank canada ai stream partner par,0.23430483
Deputy Governor Sylvain Leduc to leave the Bank of Canada,2018-06-13,bank canada announced today deputy governor sylvain leduc leave bank late july mr. leduc return san francisco family resume working federal reserve bank san francisco mr. leduc appointed deputy governor bank canada may one two deputy governors responsible overseeing bank analysis activities promoting stable efficient financial system appointment bank canada mr. leduc served vice president microeconomic macroeconomic research san francisco fed—a position held since governor stephen s. poloz thank,-0.045779105
Canada’s financial system remains resilient as vulnerabilities show further signs of easing,2018-06-07,high household indebtedness housing market imbalances remain important vulnerabilities identified bank canada financial system review fsr published today vulnerabilities remain elevated policy measures continue improve resilience financial system vulnerability related high household indebtedness begun ease incomes continue rise household credit growth slowed due higher interest rates policy measures aimed mortgage financing housing sheer size stock debt however vulnerability persist time house p,-0.17602327
Bank of Canada maintains overnight rate target at 1¼ per cent,2018-05-30,bank canada today maintained target overnight rate per cent bank rate correspondingly per cent deposit rate per cent global economic activity remains broadly track bank april monetary policy report mpr forecast recent data point upside outlook us economy time ongoing uncertainty trade policies dampening global business investment stresses developing emerging market economies global oil prices higher assumed april part reflecting geopolitical developments inflation canada close per cent target li,-0.5266545
