,date,text
Bank of Canada to chair the Central Bank Network for Indigenous Inclusion in 2022,2022-03-23,
Bank of Canada and Massachusetts Institute of Technology announce joint Central Bank Digital Currency collaboration,2022-03-16,
Bank of Canada increases policy interest rate,2022-03-02,"The Bank of Canada today increased its target for the overnight rate to ½ %, with the Bank Rate at ¾ % and the deposit rate at ½ %. The Bank is continuing its reinvestment phase, keeping its overall holdings of Government of Canada bonds on its balance sheet roughly constant until such time as it becomes appropriate to allow the size of its balance sheet to decline.
The unprovoked invasion of Ukraine by Russia is a major new source of uncertainty. Prices for oil and other commodities have risen sharply. This will add to inflation around the world, and negative impacts on confidence and new supply disruptions could weigh on global growth. Financial market volatility has increased. The situation remains fluid and we are following events closely.
Global economic data has come in broadly in line with projections in the Bank’s January Monetary Policy Report (MPR). Economies are emerging from the impact of the Omicron variant of COVID-19 more quickly than expected, although the virus continues to circulate and the possibility of new variants remains a concern. Demand is robust, particularly in the United States. Global supply bottlenecks remain challenging, although there are indications that some constraints have eased.
Economic growth in Canada was very strong in the fourth quarter of last year at 6.7%. This is stronger than the Bank’s projection and confirms its view that economic slack has been absorbed. Both exports and imports have picked up, consistent with solid global demand. In January, the recovery in Canada’s labour market suffered a setback due to the Omicron variant, with temporary layoffs in service sectors and elevated employee absenteeism. However, the rebound from Omicron now appears to be well in train: household spending is proving resilient and should strengthen further with the lifting of public health restrictions. Housing market activity is more elevated, adding further pressure to house prices. Overall, first-quarter growth is now looking more solid than previously projected.
CPI inflation is currently at 5.1%, as expected in January, and remains well above the Bank’s target range. Price increases have become more pervasive, and measures of core inflation have all risen. Poor harvests and higher transportation costs have pushed up food prices. The invasion of Ukraine is putting further upward pressure on prices for both energy and food-related commodities. All told, inflation is now expected to be higher in the near term than projected in January. Persistently elevated inflation is increasing the risk that longer-run inflation expectations could drift upwards. The Bank will use its monetary policy tools to return inflation to the 2% target and keep inflation expectations well-anchored.
The policy rate is the Bank’s primary monetary policy instrument. As the economy continues to expand and inflation pressures remain elevated, the Governing Council expects interest rates will need to rise further. The Governing Council will also be considering when to end the reinvestment phase and allow its holdings of Government of Canada bonds to begin to shrink. The resulting quantitative tightening (QT) would complement increases in the policy interest rate. The timing and pace of further increases in the policy rate, and the start of QT, will be guided by the Bank’s ongoing assessment of the economy and its commitment to achieving the 2% inflation target.
The next scheduled date for announcing the overnight rate target is April 13, 2022. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the MPR at the same time."
Bank of Canada announces 2021-2022 scholarship recipients,2022-02-22,
Deputy Governor Lawrence Schembri to Retire from the Bank of Canada,2022-02-18,
"Bank of Canada maintains policy rate, removes exceptional forward guidance",2022-01-26,"The Bank of Canada today held its target for the overnight rate at the effective lower bound of ¼ %, with the Bank Rate at ½ % and the deposit rate at ¼ %. With overall economic slack now absorbed, the Bank has removed its exceptional forward guidance on its policy interest rate. The Bank is continuing its reinvestment phase, keeping its overall holdings of Government of Canada bonds roughly constant.
The global recovery from the COVID-19 pandemic is strong but uneven. The US economy is growing robustly while growth in some other regions appears more moderate, especially in China due to current weakness in its property sector. Strong global demand for goods combined with supply bottlenecks that hinder production and transportation are pushing up inflation in most regions. As well, oil prices have rebounded to well above pre-pandemic levels following a decline at the onset of the Omicron variant of COVID-19. Financial conditions remain broadly accommodative but have tightened with growing expectations that monetary policy will normalize sooner than was anticipated, and with rising geopolitical tensions. Overall, the Bank projects global GDP growth to moderate from 6¾ % in 2021 to about 3½ % in 2022 and 2023.
In Canada, GDP growth in the second half of 2021 now looks to have been even stronger than expected. The economy entered 2022 with considerable momentum, and a broad set of measures are now indicating that economic slack is absorbed. With strong employment growth, the labour market has tightened significantly. Job vacancies are elevated, hiring intentions are strong, and wage gains are picking up. Elevated housing market activity continues to put upward pressure on house prices.
The Omicron variant is weighing on activity in the first quarter. While its economic impact will depend on how quickly this wave passes, it is expected to be less severe than previous waves. Economic growth is then expected to bounce back and remain robust over the projection horizon, led by consumer spending on services, and supported by strength in exports and business investment. After GDP growth of 4½ % in 2021, the Bank expects Canada’s economy to grow by 4% in 2022 and about 3½ % in 2023.
CPI inflation remains well above the target range and core measures of inflation have edged up since October. Persistent supply constraints are feeding through to a broader range of goods prices and, combined with higher food and energy prices, are expected to keep CPI inflation close to 5% in the first half of 2022. As supply shortages diminish, inflation is expected to decline reasonably quickly to about 3% by the end of this year and then gradually ease towards the target over the projection period. Near-term inflation expectations have moved up, but longer-run expectations remain anchored on the 2% target. The Bank will use its monetary policy tools to ensure that higher near-term inflation expectations do not become embedded in ongoing inflation.
While COVID-19 continues to affect economic activity unevenly across sectors, the Governing Council judges that overall slack in the economy is absorbed, thus satisfying the condition outlined in the Bank’s forward guidance on its policy interest rate. The Governing Council therefore decided to end its extraordinary commitment to hold its policy rate at the effective lower bound. Looking ahead, the Governing Council expects interest rates will need to increase, with the timing and pace of those increases guided by the Bank’s commitment to achieving the 2% inflation target.
The Bank will keep its holdings of Government of Canada bonds on its balance sheet roughly constant at least until it begins to raise the policy interest rate. At that time, the Governing Council will consider exiting the reinvestment phase and reducing the size of its balance sheet by allowing roll-off of maturing Government of Canada bonds.
The next scheduled date for announcing the overnight rate target is March 2, 2022. The Bank will publish its next full outlook for the economy and inflation, including risks to the projection, in the Monetary Policy Report on April 13, 2022."
Bank of Canada/OSFI pilot helps Canadian financial sector assess climate change risks,2022-01-14,
Joint Statement of the Government of Canada and the Bank of Canada on the Renewal of the Monetary Policy Framework,2021-12-13,
Bank of Canada maintains policy rate and forward guidance,2021-12-08,"The Bank of Canada today held its target for the overnight rate at the effective lower bound of ¼ percent, with the Bank Rate at ½ percent and the deposit rate at ¼ percent. The Bank’s extraordinary forward guidance on the path for the overnight rate is being maintained. The Bank is continuing its reinvestment phase, keeping its overall holdings of Government of Canada bonds roughly constant.
The global economy continues to recover from the effects of the COVID-19 pandemic. Economic growth in the United States has accelerated, led by consumption, while growth in some other regions is moderating after a strong third quarter. Inflation has increased further in many countries, reflecting strong demand for goods amid ongoing supply disruptions. The new Omicron COVID-19 variant has prompted a tightening of travel restrictions in many countries and a decline in oil prices, and has injected renewed uncertainty. Accommodative financial conditions are still supporting economic activity.
Canada’s economy grew by about 5½ percent in the third quarter, as expected. Together with a downward revision to the second quarter, this brings the level of GDP to about 1½ percent below its level in the last quarter of 2019, before the pandemic began. Third-quarter growth was led by a rebound in consumption, particularly services, as restrictions were further eased and higher vaccination rates improved confidence. Persistent supply bottlenecks continued to inhibit growth in other components of GDP, including non-commodity exports and business investment.
Recent economic indicators suggest the economy had considerable momentum into the fourth quarter. This includes broad-based job gains in recent months that have brought the employment rate essentially back to its pre-pandemic level.  Job vacancies remain elevated and wage growth has also picked up. Housing activity had been moderating, but appears to be regaining strength, notably in resales. The devastating floods in British Columbia and uncertainties arising from the Omicron variant could weigh on growth by compounding supply chain disruptions and reducing demand for some services. 
CPI inflation is elevated and the impact of global supply constraints is feeding through to a broader range of goods prices. The effects of these constraints on prices will likely take some time to work their way through, given existing supply backlogs. Gasoline prices, which had been a major factor pushing up CPI inflation, have recently declined. Meanwhile, core measures of inflation are little changed since September. The Bank continues to expect CPI inflation to remain elevated in the first half of 2022 and ease back towards 2 percent in the second half of the year. The Bank is closely watching inflation expectations and labour costs to ensure that the forces pushing up prices do not become embedded in ongoing inflation.
The Governing Council judges that in view of ongoing excess capacity, the economy continues to require considerable monetary policy support. We remain committed to holding the policy interest rate at the effective lower bound until economic slack is absorbed so that the 2 percent inflation target is sustainably achieved. In the Bank’s October projection, this happens sometime in the middle quarters of 2022. We will provide the appropriate degree of monetary policy stimulus to support the recovery and achieve the inflation target.
The next scheduled date for announcing the overnight rate target is January 26, 2022. The Bank will publish its full outlook for the economy and inflation, including risks to the projection, in the Monetary Policy Report at the same time."
Bank of Canada and partners host Symposium on Indigenous Economies,2021-11-30,
Bank of Canada announces climate change commitments for COP26,2021-11-03,
"Bank of Canada maintains policy rate and forward guidance,  ends quantitative easing",2021-10-27,"The Bank of Canada today held its target for the overnight rate at the effective lower bound of ¼ percent, with the Bank Rate at ½ percent and the deposit rate at ¼ percent. The Bank’s extraordinary forward guidance on the path for the overnight rate is being maintained. The Bank is ending quantitative easing (QE) and moving into the reinvestment phase, during which it will purchase Government of Canada bonds solely to replace maturing bonds.
The global economic recovery from the COVID-19 pandemic is progressing. Vaccines are proving highly effective against the virus, although their availability and distribution globally remain uneven and COVID variants pose risks to health and economic activity. In the face of strong global demand for goods, pandemic-related disruptions to production and transportation are constraining growth.  Inflation rates have increased in many countries, boosted by these supply bottlenecks and by higher energy prices. While bond yields have risen in recent weeks, financial conditions remain accommodative and continue to support economic activity.
The Bank projects global GDP will grow by 6½ percent in 2021 – a strong pace but less than projected in the July Monetary Policy Report (MPR) – and by 4¼ percent in 2022 and about 3½ percent in 2023.
In Canada, robust economic growth has resumed, following a pause in the second quarter. Strong employment gains in recent months were concentrated in hard-to-distance sectors and among workers most affected by lockdowns. This has significantly reduced the very uneven impact of the pandemic on workers. As the economy reopens, it is taking time for workers to find the right jobs and for employers to hire people with the right skills. This is contributing to labour shortages in certain sectors, even as slack remains in the overall labour market.
The Bank now forecasts Canada’s economy will grow by 5 percent this year before moderating to 4¼ percent in 2022 and 3¾ percent in 2023. Demand is expected to be supported by strong consumption and business investment, and a rebound in exports as the US economy continues to recover. Housing activity has moderated, but is expected to remain elevated. On the supply side, shortages of manufacturing inputs, transportation bottlenecks, and difficulties in matching jobs to workers are limiting the economy’s productive capacity. Although the impact and persistence of these supply factors are hard to quantify, the output gap is likely to be narrower than the Bank had forecast in July.
The recent increase in CPI inflation was anticipated in July, but the main forces pushing up prices – higher energy prices and pandemic-related supply bottlenecks – now appear to be stronger and more persistent than expected. Core measures of inflation have also risen, but by less than the CPI. The Bank now expects CPI inflation to be elevated into next year, and ease back to around the 2 percent target by late 2022. The Bank is closely watching inflation expectations and labour costs to ensure that the temporary forces pushing up prices do not become embedded in ongoing inflation.  
The Governing Council judges that in view of ongoing excess capacity, the economy continues to require considerable monetary policy support. We remain committed to holding the policy interest rate at the effective lower bound until economic slack is absorbed so that the 2 percent inflation target is sustainably achieved. In the Bank’s projection, this happens sometime in the middle quarters of 2022. In light of the progress made in the economic recovery, the Governing Council has decided to end quantitative easing and keep its overall holdings of Government of Canada bonds roughly constant.
We will continue to provide the appropriate degree of monetary policy stimulus to support the recovery and achieve the inflation target.
A market notice outlining details of the reinvestment phase will be published on the Bank’s web site at 10:30 am ET today.
The next scheduled date for announcing the overnight rate target is December 8, 2021. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR on January 26, 2022."
"Bank of Canada maintains policy rate, continues forward guidance  and current pace of quantitative easing",2021-09-08,"The Bank of Canada today held its target for the overnight rate at the effective lower bound of ¼ percent, with the Bank Rate at ½ percent and the deposit rate at ¼ percent. The Bank is maintaining its extraordinary forward guidance on the path for the overnight rate. This is reinforced and supplemented by the Bank’s quantitative easing (QE) program, which is being maintained at a target pace of $2 billion per week.
The global economic recovery continued through the second quarter, led by strong US growth, and had solid momentum heading into the third quarter. However, supply chain disruptions are restraining activity in some sectors and rising cases of COVID-19 in many regions pose a risk to the strength of the global recovery. Financial conditions remain highly accommodative.
In Canada, GDP contracted by about 1 percent in the second quarter, weaker than anticipated in the Bank’s July Monetary Policy Report (MPR). This largely reflects a contraction in exports, due in part to supply chain disruptions, especially in the auto sector. Housing market activity pulled back from recent high levels, largely as expected. Consumption, business investment and government spending all contributed positively to growth, with domestic demand growing at more than 3 percent. Employment rebounded through June and July, with hard-to-distance sectors hiring as public health restrictions eased. This is reducing unevenness in the labour market, although considerable slack remains and some groups – particularly low-wage workers – are still disproportionately affected. The Bank continues to expect the economy to strengthen in the second half of 2021, although the fourth wave of COVID-19 infections and ongoing supply bottlenecks could weigh on the recovery.
CPI inflation remains above 3 percent as expected, boosted by base-year effects, gasoline prices, and pandemic-related supply bottlenecks. These factors pushing up inflation are expected to be transitory, but their persistence and magnitude are uncertain and will be monitored closely. Wage increases have been moderate to date, and medium-term inflation expectations remain well-anchored. Core measures of inflation have risen, but by less than the CPI.
The Governing Council judges that the Canadian economy still has considerable excess capacity, and that the recovery continues to require extraordinary monetary policy support. We remain committed to holding the policy interest rate at the effective lower bound until economic slack is absorbed so that the 2 percent inflation target is sustainably achieved. In the Bank’s July projection, this happens in the second half of 2022. The Bank's QE program continues to reinforce this commitment and keep interest rates low across the yield curve. Decisions regarding future adjustments to the pace of net bond purchases will be guided by Governing Council's ongoing assessment of the strength and durability of the recovery. We will continue to provide the appropriate degree of monetary policy stimulus to support the recovery and achieve the inflation objective.
The next scheduled date for announcing the overnight rate target is October 27, 2021. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR at the same time."
Bank of Canada designates Lynx as a systemically important payment system,2021-09-01,
"Bank of Canada publishes its 2022 schedule for policy interest rate announcements, the release of the Monetary Policy Report and other major publications",2021-07-29,"The Bank of Canada today published its 2022 schedule for policy interest rate announcements and the release of the quarterly Monetary Policy Report. It also reconfirmed the scheduled interest rate announcement dates for the remainder of this year.
The Bank also published its schedule for the release of the Business Outlook Survey and the Canadian Survey of Consumer Expectations.
The scheduled dates for the interest rate announcements for 2022 are as follows:
The scheduled dates for the interest rate announcements from September 2021 through December 2021 are reconfirmed as follows:
*Monetary Policy Report published
All interest rate announcements will be made at 10:00 (ET), and the Monetary Policy Report will be published concurrently with the January, April, July and October rate announcements.
The scheduled dates for the release of the 2022 issues of the Business Outlook Survey and Canadian Survey of Consumer Expectations are as follows:
All survey releases will take place at 10:30 (ET)."
Bank of Canada appoints Ron Morrow as Executive Director – Retail Payments Supervision,2021-07-28,"The Bank of Canada today announced the appointment of Ron Morrow as Executive Director – Retail Payments Supervision, effective August 9, 2021.
This executive-level position has been created, with endorsement from the Bank’s Board of Directors, to support the Bank’s new mandate to supervise retail payment service providers (PSPs), as per the Retail Payment Activities Act. Under this Act, which was approved by Parliament on June 29, 2021, the Bank will be responsible for supervising PSPs to protect end users and help ensure the safety and reliability of PSP services. As per the Act, the Bank will maintain a public registry of all regulated payment service providers and a regular reporting framework. Bank of Canada supervision will also ensure that PSPs mitigate their operational risk and safeguard end-user funds.
Reporting directly to the Governor, Mr. Morrow will lead the design and implementation of the Retail Payments Supervision (RPS) Framework, including ongoing consultations on the Bank’s supervisory role as regulations are developed. He will build the leadership team tasked with fulfilling this new mandate and oversee planning and execution of risk monitoring of PSPs. The Executive Director role will also act as an independent reviewer of enforcement actions initiated by RPS staff and advise the Governor of the Bank of Canada on the evolution of risks related to PSPs and the retail payments landscape.
“This new mandate for the Bank is an important responsibility,” said Governor Macklem. “The payments eco-system in Canada and globally is evolving rapidly, with innovative new options and many new participants. Ron’s expertise, experience and leadership will ensure that we undertake this new role on behalf of Canadians with the same rigour, dedication and professionalism that the Bank applies to all its mandated responsibilities.”
Born in Thunder Bay, Ontario, Mr. Morrow first joined the Bank in 1992 and has worked in several different areas across the Bank’s monetary policy, financial stability, and funds management functions. In 2010, he became Managing Director of the Funds Management and Banking Department, then Managing Director of the Financial Stability Department in 2013. Mr. Morrow became an Advisor to the Governor in 2018, focusing on advancing the Bank’s strategic objectives related to retail payments, financial market infrastructure issues, and the efficiency of the Canadian financial system. Mr. Morrow also represented the Bank on the Basel Committee on Banking Supervision and chairs the Bank’s Pension Fund Investment Committee.
Mr. Morrow holds an Honours Bachelor of Arts Degree in economics, with a minor in mathematics, from the University of Waterloo and a Master’s degree in economics from Queen’s University."
Sharon Kozicki appointed as Deputy Governor of the Bank of Canada,2021-07-21,
